review_id,review_text,rating
1,"The laptop's battery life is *outstanding*, lasting over 10 hours! :D",5
2,"#Terrible customer service! My issue wasn't resolved after multiple calls. :(",1
3,"Fast shipping, but the packaging was damaged upon arrival :/ #Disappointing.",3
4,"I *love* the sleek design of the phone :) it's lightweight and powerful!",5
5,"The software is buggy @@ and crashes frequently... very disappointed :(",2
6,"The restaurant ambiance was nice :) but the food was mediocre *at best*.",3
7,"Absolutely fantastic headphones! Great sound quality and comfortable fit :D ^_^.",5
8,"The movie was a complete waste of time ~ plot was predictable and dull :|.",1
9,"Bought this for my son :) he enjoys it a lot, very kid-friendly!",4
10,"The hotel staff was extremely friendly :) and accommodating! #TopNotch",5
11,"Poor quality fabric, not worth the price :( Wouldn't recommend!",2
12,"Had a *great* time at the amusement park, the rides were thrilling :D!",5
13,"The app interface is ^intuitive^ and easy to navigate :).",4
14,"The concert was amazing, but the seating was too cramped :/ ~ could have been better.",4
15,"This book is a *masterpiece*, full of insightful thoughts and stories :D",5
16,"Received a defective product @@, had to return it immediately :( #Frustrating",1
17,"The vacuum cleaner is *very* powerful but quite noisy :/",3
18,"Great experience at the car dealership :) the staff was very professional! ^_^",5
19,"Not happy with the subscription service :( Too many ads! #Annoying",2
20,"The smartwatch has many features, but the battery drains too quickly :/ ~ could improve.",3